t,y
4.889,1.156
4.900,1.156
4.909,1.156
4.920,1.155
4.929,1.155
4.940,1.155
4.949,1.154
4.960,1.154
4.969,1.154
4.980,1.154
4.989,1.153
5.0,1.153
5.010,1.153
5.019,1.152
5.030,1.152
5.039,1.152
5.050,1.151
5.059,1.151
5.070,1.151
5.079,1.151
5.090,1.150
5.099,1.150
5.110,1.150
5.119,1.150
5.130,1.149
5.139,1.149
5.150,1.149
5.159,1.148
5.170,1.148
5.179,1.148
5.190,1.148
5.199,1.147
5.210,1.147
5.219,1.147
5.230,1.147
5.239,1.146
5.250,1.146
5.260,1.146
5.269,1.146
5.280,1.145
5.289,1.145
5.300,1.145
5.309,1.145
5.320,1.145
5.329,1.144
5.340,1.144
5.349,1.144
5.360,1.144
5.369,1.143
5.380,1.143
5.389,1.143
5.400,1.143
5.409,1.143
5.420,1.142
5.429,1.142
5.440,1.142
5.449,1.142
5.460,1.141
5.469,1.141
5.480,1.141
5.489,1.141
5.500,1.141
5.510,1.140
5.520,1.140
5.530,1.140
5.539,1.140
5.550,1.140
5.559,1.139
5.570,1.139
5.579,1.139
5.590,1.139
5.599,1.139
5.610,1.139
5.619,1.138
5.630,1.138
5.639,1.138
5.650,1.138
5.659,1.138
5.670,1.137
5.679,1.137
5.690,1.137
5.699,1.137
5.710,1.137
5.719,1.137
5.730,1.136
5.739,1.136
5.750,1.136
5.760,1.136
5.770,1.136
5.780,1.136
5.789,1.135
5.800,1.135
5.809,1.135
5.820,1.135
5.829,1.135
5.840,1.135
5.849,1.134
5.860,1.134
5.869,1.134
5.880,1.134
5.889,1.134
5.900,1.134
5.909,1.134
5.920,1.133
5.929,1.133
5.940,1.133
5.949,1.133
5.960,1.133
5.969,1.133
5.980,1.132
5.989,1.132
6.0,1.132
6.010,1.132
6.019,1.132
6.030,1.132
6.039,1.132
6.050,1.132
6.059,1.131
6.070,1.131
6.079,1.131
6.090,1.131
6.099,1.131
6.110,1.131
6.119,1.131
6.130,1.130
6.139,1.130
6.150,1.130
6.159,1.130
6.170,1.130
6.179,1.130
6.190,1.130
6.199,1.130
6.210,1.130
6.219,1.129
6.230,1.129
6.239,1.129
6.250,1.129
6.260,1.129
6.269,1.129
6.280,1.129
6.289,1.129
6.300,1.128
6.309,1.128
6.320,1.128
6.329,1.128
6.340,1.128
6.349,1.128
6.360,1.128
6.369,1.128
6.380,1.128
6.389,1.128
6.400,1.127
6.409,1.127
6.420,1.127
6.429,1.127
6.440,1.127
6.449,1.127
6.460,1.127
6.469,1.127
6.480,1.127
6.489,1.127
6.500,1.126
6.510,1.126
6.520,1.126
6.530,1.126
6.539,1.126
6.550,1.126
6.559,1.126
6.570,1.126
6.579,1.126
6.590,1.126
6.599,1.126
6.610,1.125
6.619,1.125
6.630,1.125
6.639,1.125
6.650,1.125
6.659,1.125
6.670,1.125
6.679,1.125
6.690,1.125
6.699,1.125
6.710,1.125
6.719,1.124
6.730,1.124
6.739,1.124
6.750,1.124
6.760,1.124
6.770,1.124
6.780,1.124
6.789,1.124
6.800,1.124
6.809,1.124
6.820,1.124
6.829,1.124
6.840,1.124
6.849,1.123
6.860,1.123
6.869,1.123
6.880,1.123
6.889,1.123
6.900,1.123
6.909,1.123
6.920,1.123
6.929,1.123
6.940,1.123
6.949,1.123
6.960,1.123
6.969,1.123
6.980,1.123
6.989,1.123
