t,y
0.0,-0.000
0.010,0.088
0.020,0.172
0.030,0.254
0.040,0.331
0.050,0.406
0.060,0.478
0.070,0.546
0.080,0.612
0.090,0.675
0.100,0.736
0.110,0.794
0.120,0.849
0.130,0.902
0.140,0.953
0.150,1.002
0.160,1.048
0.170,1.093
0.180,1.136
0.190,1.176
0.200,1.215
0.210,1.253
0.220,1.288
0.230,1.322
0.240,1.355
0.250,1.386
0.260,1.415
0.270,1.444
0.280,1.471
0.290,1.496
0.300,1.521
0.310,1.544
0.320,1.566
0.330,1.587
0.340,1.607
0.350,1.626
0.360,1.644
0.370,1.661
0.380,1.677
0.390,1.693
0.400,1.707
0.410,1.721
0.420,1.734
0.430,1.747
0.440,1.758
0.450,1.769
0.460,1.779
0.470,1.789
0.480,1.798
0.490,1.806
0.500,1.814
0.510,1.822
0.520,1.829
0.530,1.835
0.540,1.841
0.550,1.846
0.560,1.851
0.570,1.856
0.580,1.860
0.590,1.864
0.600,1.868
0.610,1.871
0.620,1.874
0.630,1.876
0.640,1.878
0.650,1.880
0.660,1.882
0.670,1.883
0.680,1.884
0.690,1.885
0.700,1.886
0.710,1.886
0.720,1.886
0.730,1.886
0.740,1.886
0.750,1.885
0.760,1.884
0.770,1.884
0.780,1.883
0.790,1.881
0.800,1.880
0.810,1.879
0.820,1.877
0.830,1.875
0.840,1.873
0.850,1.871
0.860,1.869
0.870,1.867
0.880,1.865
0.890,1.862
0.900,1.860
0.910,1.857
0.920,1.855
0.930,1.852
0.940,1.849
0.950,1.846
0.960,1.843
0.970,1.840
0.980,1.837
0.990,1.834
1.0,1.831
1.009,1.827
1.019,1.824
1.029,1.821
1.039,1.817
1.049,1.814
1.059,1.810
1.070,1.807
1.080,1.803
1.090,1.800
1.100,1.796
1.110,1.792
1.120,1.789
1.130,1.785
1.139,1.781
1.149,1.778
1.159,1.774
1.169,1.770
1.179,1.766
1.190,1.763
1.200,1.759
1.210,1.755
1.220,1.751
1.230,1.747
1.240,1.744
1.250,1.740
1.260,1.736
1.269,1.732
1.279,1.728
1.289,1.724
1.299,1.721
1.309,1.717
1.320,1.713
1.330,1.709
1.340,1.705
1.350,1.702
1.360,1.698
1.370,1.694
1.380,1.690
1.390,1.686
1.399,1.683
1.409,1.679
1.419,1.675
1.429,1.672
1.440,1.668
1.450,1.664
1.460,1.660
1.470,1.657
1.480,1.653
1.490,1.649
1.500,1.646
1.510,1.642
1.520,1.639
1.530,1.635
1.539,1.631
1.549,1.628
1.559,1.624
1.570,1.621
1.580,1.617
1.590,1.614
1.600,1.610
1.610,1.607
1.620,1.603
1.630,1.600
1.640,1.597
1.650,1.593
1.659,1.590
1.669,1.587
1.679,1.583
1.690,1.580
1.700,1.577
1.710,1.573
1.720,1.570
1.730,1.567
1.740,1.564
1.750,1.560
1.760,1.557
1.770,1.554
1.780,1.551
1.789,1.548
1.799,1.545
1.809,1.542
1.820,1.538
1.830,1.535
1.840,1.532
1.850,1.529
1.860,1.526
1.870,1.523
1.880,1.520
1.890,1.517
1.900,1.515
1.909,1.512
1.919,1.509
1.929,1.506
1.940,1.503
1.950,1.500
1.960,1.497
1.970,1.495
1.980,1.492
1.990,1.489
2.0,1.486
2.009,1.484
2.019,1.481
2.029,1.478
2.039,1.476
2.049,1.473
2.059,1.470
2.069,1.468
2.079,1.465
2.089,1.462
2.099,1.460
2.109,1.457
2.119,1.455
2.130,1.452
2.140,1.450
2.150,1.447
2.160,1.445
2.170,1.442
2.180,1.440
2.190,1.438
2.200,1.435
2.210,1.433
2.220,1.430
2.230,1.428
2.240,1.426
2.250,1.424
2.260,1.421
2.269,1.419
2.279,1.417
2.289,1.414
2.299,1.412
2.309,1.410
2.319,1.408
2.329,1.406
2.339,1.403
2.349,1.401
2.359,1.399
2.369,1.397
2.380,1.395
2.390,1.393
2.400,1.391
2.410,1.389
2.420,1.387
2.430,1.385
2.440,1.383
2.450,1.381
2.460,1.379
2.470,1.377
2.480,1.375
2.490,1.373
2.500,1.371
2.510,1.369
2.520,1.367
2.530,1.365
2.539,1.363
2.549,1.361
2.559,1.360
2.569,1.358
2.579,1.356
2.589,1.354
2.599,1.352
2.609,1.351
2.619,1.349
2.630,1.347
2.640,1.345
2.650,1.344
2.660,1.342
2.670,1.340
2.680,1.338
2.690,1.337
2.700,1.335
2.710,1.333
2.720,1.332
2.730,1.330
2.740,1.329
2.750,1.327
2.760,1.325
2.770,1.324
2.780,1.322
2.789,1.321
2.799,1.319
2.809,1.318
2.819,1.316
2.829,1.315
2.839,1.313
2.849,1.312
2.859,1.310
2.869,1.309
2.880,1.307
2.890,1.306
2.900,1.304
2.910,1.303
2.920,1.301
2.930,1.300
2.940,1.299
2.950,1.297
2.960,1.296
2.970,1.295
2.980,1.293
2.990,1.292
3.0,1.290
3.009,1.289
3.019,1.288
3.029,1.287
3.039,1.285
3.049,1.284
3.059,1.283
3.069,1.281
3.079,1.280
3.089,1.279
3.099,1.278
3.109,1.276
3.119,1.275
3.130,1.274
3.140,1.273
3.150,1.272
3.160,1.270
3.170,1.269
3.180,1.268
3.190,1.267
3.200,1.266
3.210,1.265
3.220,1.264
3.230,1.262
3.240,1.261
3.250,1.260
3.260,1.259
3.269,1.258
3.279,1.257
3.289,1.256
3.299,1.255
3.309,1.254
3.319,1.253
3.329,1.252
3.339,1.251
3.349,1.250
3.359,1.249
3.369,1.248
3.380,1.247
3.390,1.246
3.400,1.245
3.410,1.244
3.420,1.243
3.430,1.242
3.440,1.241
3.450,1.240
3.460,1.239
3.470,1.238
3.480,1.237
3.490,1.236
3.500,1.235
3.510,1.234
3.520,1.233
3.530,1.232
3.539,1.231
3.549,1.231
3.559,1.230
3.569,1.229
3.579,1.228
3.589,1.227
3.599,1.226
3.609,1.225
3.619,1.225
3.630,1.224
3.640,1.223
3.650,1.222
3.660,1.221
3.670,1.220
3.680,1.220
3.690,1.219
3.700,1.218
3.710,1.217
3.720,1.217
3.730,1.216
3.740,1.215
3.750,1.214
3.760,1.213
3.770,1.213
3.780,1.212
3.789,1.211
3.799,1.211
3.809,1.210
3.819,1.209
3.829,1.208
3.839,1.208
3.849,1.207
3.859,1.206
3.869,1.206
3.880,1.205
3.890,1.204
3.900,1.204
3.910,1.203
3.920,1.202
3.930,1.202
3.940,1.201
3.950,1.200
3.960,1.200
3.970,1.199
3.980,1.198
3.990,1.198
4.0,1.197
4.010,1.196
4.019,1.196
4.030,1.195
4.039,1.195
4.050,1.194
4.059,1.193
4.070,1.193
4.079,1.192
4.090,1.192
4.099,1.191
4.110,1.190
4.119,1.190
4.130,1.189
4.139,1.189
4.150,1.188
4.159,1.188
4.170,1.187
4.179,1.186
4.190,1.186
4.199,1.185
4.210,1.185
4.219,1.184
4.230,1.184
4.239,1.183
4.250,1.183
4.260,1.182
4.269,1.182
4.280,1.181
4.289,1.181
4.300,1.180
4.309,1.180
4.320,1.179
4.329,1.179
4.340,1.178
4.349,1.178
4.360,1.177
4.369,1.177
4.380,1.176
4.389,1.176
4.400,1.175
4.409,1.175
4.420,1.174
4.429,1.174
4.440,1.174
4.449,1.173
4.460,1.173
4.469,1.172
4.480,1.172
4.489,1.171
4.500,1.171
4.510,1.170
4.520,1.170
4.530,1.170
4.539,1.169
4.550,1.169
4.559,1.168
4.570,1.168
4.579,1.168
4.590,1.167
4.599,1.167
4.610,1.166
4.619,1.166
4.630,1.166
4.639,1.165
4.650,1.165
4.659,1.164
4.670,1.164
4.679,1.164
4.690,1.163
4.699,1.163
4.710,1.163
4.719,1.162
4.730,1.162
4.739,1.161
4.750,1.161
4.760,1.161
4.770,1.160
4.780,1.160
4.789,1.160
4.800,1.159
4.809,1.159
4.820,1.159
4.829,1.158
4.840,1.158
4.849,1.158
4.860,1.157
4.869,1.157
4.880,1.157
