t,y
0.399,1.712
0.400,1.713
0.401,1.715
0.402,1.716
0.403,1.717
0.404,1.719
0.405,1.720
0.406,1.722
0.407,1.723
0.408,1.724
0.409,1.726
0.410,1.727
0.411,1.728
0.412,1.730
0.413,1.731
0.414,1.732
0.415,1.734
0.416,1.735
0.417,1.736
0.418,1.738
0.419,1.739
0.420,1.740
0.421,1.742
0.422,1.743
0.423,1.744
0.424,1.745
0.425,1.747
0.426,1.748
0.427,1.749
0.428,1.750
0.429,1.752
0.430,1.753
0.431,1.754
0.432,1.755
0.433,1.756
0.434,1.758
0.435,1.759
0.436,1.760
0.437,1.761
0.438,1.762
0.439,1.764
0.440,1.765
0.441,1.766
0.442,1.767
0.443,1.768
0.444,1.769
0.445,1.770
0.446,1.771
0.447,1.773
0.448,1.774
0.449,1.775
0.450,1.776
0.451,1.777
0.452,1.778
0.453,1.779
0.454,1.780
0.455,1.781
0.456,1.782
0.457,1.783
0.458,1.784
0.459,1.785
0.460,1.786
0.461,1.787
0.462,1.788
0.463,1.789
0.464,1.790
0.465,1.791
0.466,1.792
0.467,1.793
0.468,1.794
0.469,1.795
0.470,1.796
0.471,1.797
0.472,1.798
0.473,1.799
0.474,1.800
0.475,1.801
0.476,1.802
0.477,1.803
0.478,1.804
0.479,1.805
0.480,1.805
0.481,1.806
0.482,1.807
0.483,1.808
0.484,1.809
0.485,1.810
0.486,1.811
0.487,1.812
0.488,1.812
0.489,1.813
0.490,1.814
0.491,1.815
0.492,1.816
0.493,1.817
0.494,1.817
0.495,1.818
0.496,1.819
0.497,1.820
0.498,1.821
0.499,1.821
0.500,1.822
0.501,1.823
0.501,1.824
0.503,1.825
0.504,1.825
0.505,1.826
0.505,1.827
0.507,1.828
0.508,1.828
0.509,1.829
0.510,1.830
0.510,1.831
0.512,1.831
0.513,1.832
0.514,1.833
0.515,1.833
0.516,1.834
0.517,1.835
0.518,1.835
0.519,1.836
0.520,1.837
0.521,1.838
0.522,1.838
0.523,1.839
0.524,1.840
0.525,1.840
0.526,1.841
0.527,1.842
0.528,1.842
0.529,1.843
0.530,1.843
0.531,1.844
0.532,1.845
0.533,1.845
0.534,1.846
0.535,1.847
0.536,1.847
0.537,1.848
0.538,1.848
0.539,1.849
0.540,1.850
0.541,1.850
0.542,1.851
0.543,1.851
0.544,1.852
0.545,1.852
0.546,1.853
0.547,1.854
0.548,1.854
0.549,1.855
0.550,1.855
0.551,1.856
0.552,1.856
0.553,1.857
0.554,1.857
0.555,1.858
0.556,1.858
0.557,1.859
0.558,1.859
0.559,1.860
0.560,1.860
0.561,1.861
0.562,1.861
0.563,1.862
0.564,1.862
0.565,1.863
0.566,1.863
0.567,1.864
0.568,1.864
0.569,1.865
0.570,1.865
0.571,1.866
0.572,1.866
0.573,1.867
0.574,1.867
0.575,1.868
0.576,1.868
0.577,1.868
0.578,1.869
0.579,1.869
0.580,1.870
0.581,1.870
0.582,1.871
0.583,1.871
0.584,1.871
0.585,1.872
0.586,1.872
0.587,1.873
0.588,1.873
0.589,1.873
0.590,1.874
0.591,1.874
0.592,1.874
0.593,1.875
0.594,1.875
0.595,1.876
0.596,1.876
0.597,1.876
0.598,1.877
0.599,1.877
0.600,1.877
0.601,1.878
0.602,1.878
0.603,1.878
0.604,1.879
0.605,1.879
0.606,1.879
0.607,1.880
0.608,1.880
0.609,1.880
0.610,1.881
0.611,1.881
0.612,1.881
0.613,1.882
0.614,1.882
0.615,1.882
0.616,1.882
0.617,1.883
0.618,1.883
0.619,1.883
0.620,1.884
0.621,1.884
0.622,1.884
0.623,1.884
0.624,1.885
0.625,1.885
0.626,1.885
0.627,1.886
0.628,1.886
0.629,1.886
0.630,1.886
0.631,1.887
0.632,1.887
0.633,1.887
0.634,1.887
0.635,1.887
0.636,1.888
0.637,1.888
0.638,1.888
0.639,1.888
0.640,1.889
0.641,1.889
0.642,1.889
0.643,1.889
0.644,1.889
0.645,1.890
0.646,1.890
0.647,1.890
0.648,1.890
0.649,1.890
0.650,1.891
0.651,1.891
0.652,1.891
0.653,1.891
0.654,1.891
0.655,1.892
0.656,1.892
0.657,1.892
0.658,1.892
0.659,1.892
0.660,1.892
0.661,1.893
0.662,1.893
0.663,1.893
0.664,1.893
0.665,1.893
0.666,1.893
0.667,1.893
0.668,1.894
0.669,1.894
0.670,1.894
0.671,1.894
0.672,1.894
0.673,1.894
0.674,1.894
0.675,1.894
0.676,1.895
0.677,1.895
0.678,1.895
0.679,1.895
0.680,1.895
0.681,1.895
0.682,1.895
0.683,1.895
0.684,1.895
0.685,1.896
0.686,1.896
0.687,1.896
0.688,1.896
0.689,1.896
0.690,1.896
0.691,1.896
0.692,1.896
0.693,1.896
0.694,1.896
0.695,1.896
0.696,1.896
0.697,1.897
0.698,1.897
0.699,1.897
0.700,1.897
0.701,1.897
0.702,1.897
0.703,1.897
0.704,1.897
0.705,1.897
0.706,1.897
0.707,1.897
0.708,1.897
0.709,1.897
0.710,1.897
0.711,1.897
0.712,1.897
0.713,1.897
0.714,1.897
0.715,1.897
0.716,1.897
0.717,1.897
0.718,1.897
0.719,1.897
0.720,1.897
0.721,1.897
0.722,1.897
0.723,1.897
0.724,1.897
0.725,1.897
0.726,1.897
0.727,1.897
0.728,1.897
0.729,1.897
0.730,1.897
0.731,1.897
0.732,1.897
0.733,1.897
0.734,1.897
0.735,1.897
0.736,1.897
0.737,1.897
0.738,1.897
0.739,1.897
0.740,1.897
0.741,1.897
0.742,1.897
0.743,1.897
0.744,1.897
0.745,1.897
0.746,1.897
0.747,1.897
0.748,1.897
0.749,1.897
0.750,1.897
0.751,1.897
0.752,1.897
0.753,1.897
0.754,1.897
0.755,1.897
0.756,1.897
0.757,1.897
0.758,1.897
0.759,1.897
0.760,1.896
0.761,1.896
0.762,1.896
0.763,1.896
0.764,1.896
0.765,1.896
0.766,1.896
0.767,1.896
0.768,1.896
0.769,1.896
0.770,1.896
0.771,1.896
0.772,1.896
0.773,1.895
0.774,1.895
0.775,1.895
0.776,1.895
0.777,1.895
0.778,1.895
0.779,1.895
0.780,1.895
0.781,1.895
0.782,1.895
0.783,1.895
0.784,1.894
0.785,1.894
0.786,1.894
0.787,1.894
0.788,1.894
0.789,1.894
0.790,1.894
0.791,1.894
0.792,1.894
0.793,1.893
0.794,1.893
0.795,1.893
0.796,1.893
0.797,1.893
0.798,1.893
0.799,1.893
0.800,1.893
0.801,1.892
0.802,1.892
0.803,1.892
0.804,1.892
0.805,1.892
0.806,1.892
0.807,1.892
0.808,1.892
0.809,1.891
0.810,1.891
0.811,1.891
0.812,1.891
0.813,1.891
0.814,1.891
0.815,1.891
0.816,1.890
0.817,1.890
0.818,1.890
0.819,1.890
0.820,1.890
0.821,1.890
0.822,1.889
0.823,1.889
0.824,1.889
0.825,1.889
0.826,1.889
0.827,1.889
0.828,1.889
0.829,1.888
0.830,1.888
0.831,1.888
0.832,1.888
0.833,1.888
0.834,1.887
0.835,1.887
0.836,1.887
0.837,1.887
0.838,1.887
0.839,1.887
0.840,1.886
0.841,1.886
0.842,1.886
0.843,1.886
0.844,1.886
0.845,1.886
0.846,1.885
0.847,1.885
0.848,1.885
0.849,1.885
0.850,1.885
0.851,1.884
0.852,1.884
0.853,1.884
0.854,1.884
0.855,1.884
0.856,1.883
0.857,1.883
0.858,1.883
0.859,1.883
0.860,1.883
0.861,1.882
0.862,1.882
0.863,1.882
0.864,1.882
0.865,1.882
0.866,1.881
0.867,1.881
0.868,1.881
0.869,1.881
0.870,1.880
0.871,1.880
0.872,1.880
0.873,1.880
0.874,1.880
0.875,1.879
0.876,1.879
0.877,1.879
0.878,1.879
0.879,1.879
0.880,1.878
0.881,1.878
0.882,1.878
0.883,1.878
0.884,1.877
0.885,1.877
0.886,1.877
0.887,1.877
0.888,1.876
0.889,1.876
0.890,1.876
0.891,1.876
0.892,1.876
0.893,1.875
0.894,1.875
0.895,1.875
0.896,1.875
0.897,1.874
0.898,1.874
0.899,1.874
0.900,1.874
0.901,1.873
0.902,1.873
0.903,1.873
0.904,1.873
0.905,1.872
0.906,1.872
0.907,1.872
0.908,1.872
0.909,1.871
0.910,1.871
0.911,1.871
0.912,1.871
0.913,1.870
0.914,1.870
0.915,1.870
0.916,1.870
0.917,1.869
0.918,1.869
0.919,1.869
0.920,1.869
0.921,1.868
0.922,1.868
0.923,1.868
0.924,1.867
